,y,x,ID,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,버거 지수
0,0,8,화천,0,0,0,2,0.0
1,0,9,양구,0,0,0,1,0.0
2,0,10,고성(강원),0,0,0,1,0.0
3,1,3,양주,0,1,0,3,0.33
4,1,4,동두천,2,1,0,1,3.0
5,1,5,연천,0,0,0,1,0.0
6,1,6,포천,1,1,1,3,1.0
7,1,7,의정부,9,7,1,11,1.55
8,1,8,인제,0,0,0,2,0.0
9,1,9,춘천,3,4,4,5,2.2
10,1,10,속초,1,1,0,6,0.33
11,2,3,파주,3,0,0,12,0.25
12,2,4,고양 일산동,7,8,2,5,3.4
13,2,5,서울 도봉,4,3,1,2,4.0
14,2,6,서울 노원,1,5,7,5,2.6
15,2,7,남양주,4,6,2,4,3.0
16,2,8,홍천,4,0,0,3,1.33
17,2,9,횡성,0,0,1,1,1.0
18,2,10,양양,0,0,0,2,0.0
19,3,3,고양 일산서,2,1,2,9,0.56
20,3,4,고양 덕양,3,8,2,9,1.44
21,3,5,서울 강북,0,6,2,4,2.0
22,3,6,서울 성북,5,3,0,10,0.8
23,3,7,가평,0,0,0,4,0.0
24,3,8,구리,1,3,3,2,3.5
25,3,9,하남,2,1,2,5,1.0
26,3,10,정선,0,0,0,1,0.0
27,3,11,강릉,1,1,0,5,0.4
28,4,2,김포,4,5,5,8,1.75
29,4,3,안양 만안,0,2,3,9,0.56
30,4,4,광명,1,5,1,1,7.0
31,4,5,서울 서대문,11,4,4,9,2.11
32,4,6,서울 종로,3,7,0,2,5.0
33,4,7,서울 동대문,3,6,0,7,1.29
34,4,8,서울 중랑,4,3,0,3,2.33
35,4,9,양평,1,0,0,5,0.2
36,4,10,태백,0,0,0,1,0.0
37,4,11,동해,0,3,1,0,0.0
38,5,1,인천 강화,0,0,0,2,0.0
39,5,2,부천,7,9,3,5,3.8
40,5,3,안양 동안,3,2,2,9,0.78
41,5,4,서울 은평,5,4,1,2,5.0
42,5,5,서울 마포,5,5,4,8,1.75
43,5,6,서울 중구,15,4,3,5,4.4
44,5,7,서울 성동,2,3,1,8,0.75
45,5,8,서울 강동,6,7,2,7,2.14
46,5,9,여주,1,0,0,7,0.14
47,5,10,원주,1,5,0,13,0.46
48,6,1,인천 서구,2,1,2,9,0.56
49,6,3,시흥,3,1,2,15,0.4
50,6,4,서울 강서,8,8,5,9,2.33
51,6,5,서울 동작,2,4,2,6,1.33
52,6,6,서울 용산,2,2,2,11,0.55
53,6,7,서울 광진,4,4,2,9,1.11
54,6,8,서울 송파,5,7,1,12,1.08
55,6,9,이천,2,6,2,8,1.25
56,6,10,평창,0,0,0,1,0.0
57,6,11,울진,0,0,0,2,0.0
58,7,2,인천 계양,2,2,3,3,2.33
59,7,3,안산 상록,1,2,1,11,0.36
60,7,4,서울 양천,6,6,0,4,3.0
61,7,5,서울 관악,4,2,2,6,1.33
62,7,6,서울 서초,12,9,6,7,3.86
63,7,7,과천,0,3,0,1,3.0
64,7,8,성남 중원,0,1,0,4,0.25
65,7,9,광주,1,0,0,6,0.17
