구별,1인,2인,3인,4인이상,일반가구수,1인비율,4인이상비율,평균가구원수,인구수,외국인비율,고령자비율
종로구,24671,16208,11154,10619,62652,39.37783310987678,16.949179595224415,2.2,159842,6.187360018017793,17.765042979942695
중구,22078,14578,9540,8300,54496,40.51306517909571,15.23047563123899,2.1,135321,7.035862874202821,17.93143710141072
용산구,35148,25164,17439,15426,93177,37.72175536881419,16.555587752342316,2.2,244953,6.191800059603271,16.32762203361461
성동구,41488,32125,25634,23523,122770,33.793271971980126,19.16021829437159,2.3,302695,2.346916863509473,14.989345711029253
광진구,58714,35678,28054,27459,149905,39.16747273273073,18.31760114739335,2.2,361923,3.8292675513852394,13.828079453364388
동대문구,58152,36060,27436,26701,148349,39.19945533842493,17.998773163283875,2.2,358679,3.9765361228284903,17.12060087153137
중랑구,52196,44057,33160,31363,160776,32.465044534010055,19.507264765885456,2.3,400989,1.2449219305267725,17.122165445934925
성북구,57832,44443,37033,37421,176729,32.72354848383684,21.174227206627098,2.4,449871,2.256646905446228,16.309119725432403
강북구,42791,35439,25967,23815,128012,33.42733493734962,18.603724650813984,2.3,313550,1.1334715356402487,20.076861744538352
도봉구,32653,36329,29580,28269,126831,25.74528309325007,22.288714904084962,2.5,329300,0.6231399939265108,18.641967810507136
노원구,53365,52832,46783,48478,201458,26.489392329914917,24.063576527117313,2.5,529532,0.7640709154498689,15.97863774049538
은평구,52814,52257,40789,39030,184890,28.56509275785602,21.109849099464547,2.4,485842,0.8842380856327778,17.362228872761104
서대문구,46449,32581,25283,24322,128635,36.10914603335018,18.907762273098303,2.3,323860,3.287840424874946,16.633421848947076
마포구,59248,39471,29985,28181,156885,37.76524205628326,17.96283902221372,2.2,383494,2.603952082692298,14.09487501760132
양천구,36345,41435,40897,44190,162867,22.315754572749544,27.132568291919174,2.6,460048,0.8277397141167878,14.086356206308906
강서구,79371,63517,49322,47925,240135,33.05265787994253,19.957523892810293,2.3,589536,1.0163925527872768,14.935813928241872
구로구,47740,43700,34624,34314,160378,29.767175048946864,21.395702652483507,2.4,435751,6.924137867727211,15.906331827121454
금천구,37778,25207,18771,17559,99315,38.03856416452701,17.680108744902583,2.2,249641,7.003657251813604,15.767041471553151
영등포구,58214,38671,29661,27377,153923,37.82020880570155,17.786165810177817,2.2,405982,7.476193525821342,14.982437645018745
동작구,60088,40739,32514,31622,164963,36.42513775816395,19.1691470208471,2.3,404617,2.734190604942452,15.984004626597498
관악구,119863,55423,34875,31993,242154,49.498666138077425,13.21184039908488,2.0,514555,3.105790440283352,15.198763980526863
서초구,42667,38892,35327,38491,155377,27.46030622292875,24.7726497486758,2.5,429995,0.9269875231107338,13.83620739776044
강남구,66073,51560,43435,45456,206524,31.992891867289032,22.010032732273245,2.4,544085,0.8914048356414899,13.590155949897534
송파구,68861,65402,57821,60128,252212,27.302824607869567,23.84026136742106,2.5,676673,0.9372326071824943,13.61795135907595
강동구,45188,43297,36735,37756,162976,27.726781857451403,23.166601217357158,2.5,462275,0.9122275701692715,14.882483370288249
