상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
25580127,스타벅스,까치산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300.0,화곡동,1150010300203430001,1,대지,343,1.0,서울특별시 강서구 화곡동 343-1,115004145018,서울특별시 강서구 강서로13길,3,,1150010300103430001000001,동진빌딩,서울특별시 강서구 강서로13길 3,157010.0,7774.0,,1,,126.846035970796,37.532285335238704
23369079,스타벅스,등촌점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200.0,등촌동,1150010200206680009,1,대지,668,9.0,서울특별시 강서구 등촌동 668-9,115002005007,서울특별시 강서구 공항대로,329,,1150010200106680009025255,청호프라자,서울특별시 강서구 공항대로 329,157030.0,7591.0,,1,,126.844334259983,37.5582364999702
20088846,스타벅스,가양이마트점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060500,가양3동,1150010400.0,가양동,1150010400204490019,1,대지,449,19.0,서울특별시 강서구 가양동 449-19,115003115008,서울특별시 강서구 양천로,559,,1150010400104490019009474,가양이마트,서울특별시 강서구 양천로 559,157200.0,7532.0,,1,,126.861799100259,37.5581809080942
23264112,스타벅스,발산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200.0,등촌동,1150010200206780014,1,대지,678,14.0,서울특별시 강서구 등촌동 678-14,115003115001,서울특별시 강서구 강서로,388,,1150010200106780014025293,그랜드마트,서울특별시 강서구 강서로 388,157930.0,7583.0,,1,,126.839290175551,37.5601782971845
11733281,스타벅스화곡동점,화곡동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300.0,화곡동,1150010300210730010,1,대지,1073,10.0,서울특별시 강서구 화곡동 1073-10,115003005069,서울특별시 강서구 화곡로,142,,1150010300110730010012777,메가박스,서울특별시 강서구 화곡로 142,157010.0,7715.0,,1,,126.83756898643298,37.5405548865621
12122909,스타벅스양천향교역점,양천향교역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207760006,1,대지,776,6.0,서울특별시 강서구 마곡동 776-6,115003115001,서울특별시 강서구 강서로,463,,1150010500107760006000001,(주)좋은책신사고마곡제2사옥,서울특별시 강서구 강서로 463,157805.0,7791.0,,1,,126.840442028048,37.5669203191806
11931409,스타벅스염창역점,염창역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100.0,염창동,1150010100202820023,1,대지,282,23.0,서울특별시 강서구 염창동 282-23,115002005007,서울특별시 강서구 공항대로,627,,1150010100102820023028037,신명빌딩,서울특별시 강서구 공항대로 627,157864.0,7558.0,,1,,126.87452635372,37.547274247042296
12069794,스타벅스화곡DT점,화곡DT점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300.0,화곡동,1150010300207720067,1,대지,772,67.0,서울특별시 강서구 화곡동 772-67,115003005064,서울특별시 강서구 등촌로,57,,1150010300107720067020797,리베라모텔,서울특별시 강서구 등촌로 57,157010.0,7741.0,,1,,126.86311230232201,37.5350639785405
12111337,스타벅스양천향교역,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207760004,1,대지,776,4.0,서울특별시 강서구 마곡동 776-4,115003115001,서울특별시 강서구 강서로,471,,1150010500107760004000001,엠코지니어스타,서울특별시 강서구 강서로 471,157805.0,7791.0,1,,2,126.84055856385,37.5674350512757
12111408,스타벅스,화곡DT점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150057000,화곡4동,1150010300.0,화곡동,1150010300207720067,1,대지,772,67.0,서울특별시 강서구 화곡동 772-67,115003005064,서울특별시 강서구 등촌로,57,,1150010300107720067020798,스타벅스화곡점,서울특별시 강서구 등촌로 57,157896.0,7741.0,,,,126.863169824979,37.535001459722
