상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
23749411,투썸플레이스등촌로점,등촌로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053000,등촌2동,1150010200.0,등촌동,1150010200207190000,1,대지,719,,서울특별시 강서구 등촌동 719,115003005064,서울특별시 강서구 등촌로,177,,1150010200105120017026049,경남파크빌,서울특별시 강서구 등촌로 177,157030.0,7668.0,,1,,126.86221432001601,37.545759642084796
19987539,투썸플레이스,가양역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150052000,등촌1동,1150010200.0,등촌동,1150010200206280011,1,대지,628,11.0,서울특별시 강서구 등촌동 628-11,115003115008,서울특별시 강서구 양천로,504,,1150010200106280011029592,명문빌딩,서울특별시 강서구 양천로 504,157030.0,7548.0,,1,,126.85597059799,37.5603771558083
20783999,투썸플레이스,양천향교역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150053500,등촌3동,1150010200.0,등촌동,1150010200206820000,1,대지,682,,서울특별시 강서구 등촌동 682,115003115001,서울특별시 강서구 강서로,460,,1150010200106820000025288,평안빌딩,서울특별시 강서구 강서로 460,157030.0,7582.0,,1,,126.84108531567101,37.566313935170896
23462941,투썸플레이스,까치산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300.0,화곡동,1150010300203430052,1,대지,343,52.0,서울특별시 강서구 화곡동 343-52,115003115001,서울특별시 강서구 강서로,43,,1150010300103430052024807,도양라비앙타워,서울특별시 강서구 강서로 43,157010.0,7774.0,,1,,126.846534205345,37.531524322014896
23674620,투썸플레이스개화산역점,개화산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900.0,방화동,1150010900208490000,1,대지,849,,서울특별시 강서구 방화동 849,115003115008,서울특별시 강서구 양천로,28,,1150010900108490000002832,벽산에어트리움,서울특별시 강서구 양천로 28,157220.0,7601.0,,2,,126.80689667978399,37.5722445063632
25797498,투썸플레이스우장산역점,우장산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061100,발산1동,1150010600.0,내발산동,1150010600207230002,1,대지,723,2.0,서울특별시 강서구 내발산동 723-2,115003115001,서울특별시 강서구 강서로,259,,1150010600107230002008874,우장산역엠버리움빌딩,서울특별시 강서구 강서로 259,157835.0,7639.0,,1,,126.83598007726002,37.5488647844455
12122351,투썸플레이스발산역점,발산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207950007,1,대지,795,7.0,서울특별시 강서구 마곡동 795-7,115003155054,서울특별시 강서구 마곡중앙6로,93,,1150010500107950007000001,열린프라자,서울특별시 강서구 마곡중앙6로 93,157805.0,7803.0,,1,,126.837683755903,37.5601264512569
11932392,투썸플레이스골든서울호텔점,골든서울호텔점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100.0,염창동,1150010100202600007,1,대지,260,7.0,서울특별시 강서구 염창동 260-7,115002005007,서울특별시 강서구 공항대로,663,,1150010100102600007028127,골든서울호텔,서울특별시 강서구 공항대로 663,157862.0,7557.0,,1,,126.87810441885,37.5478939726201
12476713,투썸플레이스,신방화역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150063000,방화1동,1150010500.0,마곡동,1150010500207390001,1,대지,739,1.0,서울특별시 강서구 마곡동 739-1,115002115001,서울특별시 강서구 방화대로,294,,1150010500107390001000001,마곡더블유타워,서울특별시 강서구 방화대로 294,157855.0,7599.0,1,1,210,126.817032279204,37.5669853952399
12110411,투썸강서,송정역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150062000,공항동,1150010800.0,공항동,1150010800200530009,1,대지,53,9.0,서울특별시 강서구 공항동 53-9,115002005007,서울특별시 강서구 공항대로,30,,1150010800100530009000001,로얄리빙텔,서울특별시 강서구 공항대로 30,157812.0,7623.0,,1,,126.810273488782,37.56064631357821
